GroupID,PXD,SampleGroup,Category,ScopeStatus,InAnalysisNow,Source,CurrentGSE,CurrentReferenceKey,CurrentSamples,MatrixQCComplete,ExpressionStatus,ExpressionReferenceKey,ExpressionSamples,ExpressionGenes,DataSituation,RequiredBeforeStart,SelectedSamplePerturbation,VehicleExposure,StableID,MatrixSampleN,NumericQCPass,EvidenceStatus,AssayAndUnits,Limitations
KLA31_01,PXD033146,pathological rotator cuff tendon,normal_tissue,STARTED_SOURCE_LOCAL,TRUE,GSE236746,GSE236746,tendon_nondiabetic,GSM7574837;GSM7574838;GSM7574839,TRUE,EXPRESSION_MATRIX_READY,tendon_nondiabetic,3,27400,Stable-ID count matrix validated.,None; source-local analysis started.,none,FALSE,Entrez,3,TRUE,material_verified,human bulk RNA-seq; released transcript-level ENST FPKM; selected FASTQ retained for gene-level reprocessing,Non-diabetic torn rotator-cuff tendon only. The GEO matrix is transcript-level FPKM and must not be summed as gene FPKM; use the selected FASTQ files and one declared gene-level pipeline. Do not substitute healthy tendon.
KLA31_02,PXD036307,normal human lung,normal_tissue,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,GTEx_v8,GTEx_v8,GTEx_v8_Lung,Lung; sample IDs pending,FALSE,EXPRESSION_MATRIX_READY,GTEx_v8_Lung,578,55442,GTEx v8 counts/TPM and donor metadata are available; exact lung samples not selected.,Freeze donor/sample IDs and run source-local QC.,,,"",,FALSE,cohort_candidate,bulk polyA; counts/TPM,"固定v8及样本属性；供体排除标准和最终n待核对，不能声称全部健康无创伤。 [2026-09-16 expression build] GTEx donors are not certified healthy and no cause-of-death or trauma exclusion could be verified from the public release, so no health claim is made for this reference."
KLA31_03,PXD046800,hypertrophic scar,normal_tissue,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,GSE181540,GSE181540,GSE181540_HS_input,GSM5505079;GSM5505081;GSM5505083,FALSE,EXPRESSION_MATRIX_READY,GSE181540_HS_input,3,19435,Three scar input candidates exist; pair identity and source-matrix stable-ID QC remain.,Confirm paired donor identity and validate gene matrix.,,,"",,FALSE,material_verified,rRNA-depleted total RNA input; no IP; PE150; reported Ensembl count columns and FPKM; hg19 annotation,"Paper confirms paired HS and adjacent full-thickness skin. Include only input libraries (antibody none), exclude all IP. GEO library_strategy RIP-Seq conflicts with input protocol; document exception. Paper Gallus-gallus alignment sentence conflicts with GEO human hg19; verify actual reads/alignment and complete matrix before analysis."
KLA31_04,PXD046800,adjacent skin,normal_tissue,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,GSE181540,GSE181540,GSE181540_adjacent_NS_input,GSM5505085;GSM5505087;GSM5505089,FALSE,EXPRESSION_MATRIX_READY,GSE181540_adjacent_NS_input,3,19435,Three adjacent-skin input candidates exist; pair identity and source-matrix stable-ID QC remain.,Confirm paired donor identity and validate gene matrix.,,,"",,FALSE,material_verified,rRNA-depleted total RNA input; no IP; PE150; reported Ensembl count columns and FPKM; hg19 annotation,"Paper confirms paired HS and adjacent full-thickness skin. Include only input libraries (antibody none), exclude all IP. GEO library_strategy RIP-Seq conflicts with input protocol; document exception. Paper Gallus-gallus alignment sentence conflicts with GEO human hg19; verify actual reads/alignment and complete matrix before analysis."
KLA31_05,PXD050470,human hippocampus,normal_tissue,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,GTEx_v8,GTEx_v8,GTEx_v8_Hippocampus,Brain - Hippocampus; sample IDs pending,FALSE,EXPRESSION_MATRIX_READY,GTEx_v8_Hippocampus,197,55442,GTEx v8 counts/TPM and donor metadata are available; exact hippocampus samples not selected.,Freeze donor/sample IDs and run source-local QC.,,,"",,FALSE,cohort_candidate,bulk polyA; counts/TPM,固定v8；核对年龄、死亡和神经疾病排除条件；不沿用197例声明。 [2026-09-16 expression build] GTEx donors are not certified healthy and no neurological-disease exclusion could be verified. 243 hippocampus samples are annotated but only 197 carry an expression row in this release; the 46 annotated sub-dissections without expression were dropped.
KLA31_06,PXD063047,normal pregnancy placenta,normal_tissue,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,GSE114691,GSE114691,GSE114691_control_placenta,GSM3147325-GSM3147345; gestational-age filter pending,FALSE,EXPRESSION_MATRIX_READY,GSE114691_control_placenta,21,51986,Published placenta count matrix exists; gestational-age and sampling-layer filter remains.,Lock gestational-age/sampling filters and run source-local QC.,,,"",,FALSE,material_verified,human bulk; count matrix; hg19,"21个control为初始候选，不等于21个足月；核对孕周、产式和胎盘取材层；排除PE/IUGR。 [2026-09-16 expression build] Gestational age, singleton status and sampling layer are absent from the GEO record, so the planned term-singleton filter could not be applied and is not claimed. All 21 control-group placentas are included; PE and IUGR are excluded by the source file."
KLA31_07,PXD064912,human sperm,normal_tissue,STARTED_SOURCE_LOCAL,TRUE,GSE40181,GSE65683,sperm_GroupI,GSM1602978;GSM1602981;GSM1602982;GSM1602983,TRUE,EXPRESSION_MATRIX_READY,sperm_GroupI,4,27400,Stable-ID count matrix validated.,None; source-local analysis started.,none,FALSE,Entrez,4,TRUE,material_verified,human bulk mRNA; RPKM; raw SRA,仅两个供体mRNA库；排除smallRNA GSM987944/45；处理表有RPKM阈值，建议原始reads重定量并检查精子纯度。
KLA31_08,PXD066054,BPH,normal_tissue,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,GSE132714,GSE132714,GSE132714_BPH,GSM3890639-GSM3890656; all 18 BPH transition-zone samples; clinical covariates pending,FALSE,EXPRESSION_MATRIX_READY,GSE132714_BPH,18,51986,Eighteen BPH transition-zone candidates have source matrices; clinical selector remains.,Lock clinical/transition-zone inclusion and run source-local QC.,,,"",,FALSE,material_verified,human bulk polyA/riboZero; source per-sample RPKM with versioned Ensembl IDs,"The GEO archive contains all 18 BPH samples as per-sample Ensembl RPKM files. Retain source-native RPKM rather than inventing counts; audit treatment and clinical covariates before any model. [2026-09-16 expression build] All 18 donors are recorded as taking a 5-alpha-reductase inhibitor and most an alpha-blocker. This is background clinical medication rather than an experimental arm, but it is a real expression confounder and is disclosed rather than corrected."
KLA31_09,PXD075377,adjacent liver,normal_tissue,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,TCGA-LIHC,TCGA-LIHC,TCGA_LIHC_normal,Solid Tissue Normal; donor/file UUID pending,FALSE,EXPRESSION_MATRIX_READY,TCGA_LIHC_normal,50,60386,GDC STAR-count files are downloaded; exact Solid Tissue Normal donor/file set is not frozen.,Freeze adjacent-liver UUIDs/donors and run source-local QC.,,,"",,FALSE,cohort_candidate,GDC bulk RNA; STAR counts/TPM,癌旁独立队列；不是GTEx健康肝；与HCC参考可配对需以caseID确认；去除重复aliquot。
KLA31_10,PXD064038,MEC and NEC ESCC groups,cancer_tissue,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,TCGA-ESCA,TCGA-ESCA,TCGA_ESCA_ESCC,Primary Tumor AND squamous histology; UUID pending,FALSE,EXPRESSION_MATRIX_READY,TCGA_ESCA_ESCC,95,60386,GDC STAR-count files are downloaded; ESCC histology and Primary Tumor selector is not frozen.,Freeze ESCC histology/UUIDs and run source-local QC.,,,"",,FALSE,cohort_candidate,GDC bulk RNA; STAR counts/TPM,只保留ESCC而非EAC；MEC/NEC状态并未匹配；需实际临床治疗字段，不用01A推断未经治疗。
